,T,dof,alternative,p-val,CI95%,cohen-d,BF10,power,region1,region2,region_1_mean,region_1_std,region_2_mean,region_2_std,p-val_fdr_corrected,p-val_bonf_corrected,p-val_holm_corrected
T-test,6.463567456895794,117,two-sided,0.0,[0. 0.],0.06006752967197465,4.074e+06,0.09918958576870184,M1L-Brainstem_NDI_pre,M1L-Brainstem_NDI_post,0.2764927980584565,0.023777802235705983,0.275078033782125,0.02312339900894101,0.0,0.0,0.0
T-test,-35.008462779140025,117,two-sided,0.0,[-0.03 -0.03],2.007896222411458,1.616e+60,1.0,M1L-Brainstem_ODI_pre,M1L-Brainstem_ODI_post,0.16195368666852436,0.015054560870874591,0.19240917841919436,0.015152189611570353,0.0,0.0,0.0
T-test,-6.239506013794506,117,two-sided,0.0,[-0. -0.],0.042082938442259965,1.441e+06,0.07386386666855041,M1L-CaudL_NDI_pre,M1L-CaudL_NDI_post,0.18220151984801158,0.03436628601580085,0.18362338439870912,0.03290530482270228,0.0,0.0,0.0
T-test,-10.95169748774446,117,two-sided,0.0,[-0.02 -0.02],0.8584172272056468,4.17e+16,1.0,M1L-CaudL_ODI_pre,M1L-CaudL_ODI_post,0.19820898719453486,0.026564086334154385,0.21791902480612654,0.018434210463147985,0.0,0.0,0.0
T-test,-4.820957679184325,117,two-sided,4e-06,[-0. -0.],0.021539068022290535,3274.046,0.05619159740829875,M1L-LentiL_NDI_pre,M1L-LentiL_NDI_post,0.20595349534152604,0.029898782320664036,0.20659189542604922,0.029122740880206124,6e-06,0.000312,0.000108
T-test,-20.135325079170336,117,two-sided,0.0,[-0.02 -0.02],1.2342241825174123,2.924e+36,1.0,M1L-LentiL_ODI_pre,M1L-LentiL_ODI_post,0.2128931283835361,0.01715788484999563,0.2327184061365614,0.014740092792274841,0.0,0.0,0.0
T-test,3.612573067302045,117,two-sided,0.000448,[0. 0.],0.057047310646893216,43.372,0.0942750408773434,M1L-M1R_NDI_pre,M1L-M1R_NDI_post,0.17158220872688038,0.03338114587576365,0.16975517947254742,0.03032681554433142,0.0005728524590163935,0.034944,0.008064
T-test,-43.34654900042685,117,two-sided,0.0,[-0.06 -0.06],3.170023268247709,1.547e+70,1.0,M1L-M1R_ODI_pre,M1L-M1R_ODI_post,0.15175859566392752,0.021794362318677225,0.20999384398443738,0.013937148611355367,0.0,0.0,0.0
T-test,-3.1436136342428433,117,two-sided,0.002115,[-0. -0.],0.01260304699310091,10.564,0.05211471177208126,M1L-ParacentralL_NDI_pre,M1L-ParacentralL_NDI_post,0.17758266970383474,0.03231931411775047,0.17798720184705502,0.03159997001350643,0.002499545454545455,0.16497,0.027622
T-test,-27.97373959343998,117,two-sided,0.0,[-0.07 -0.06],1.508320248400577,1.351e+50,1.0,M1L-ParacentralL_ODI_pre,M1L-ParacentralL_ODI_post,0.27018628472471645,0.04178316899498482,0.33432885174203003,0.04289996743983861,0.0,0.0,0.0
T-test,-0.08582876763661697,117,two-sided,0.931749,[-0.  0.],0.0005324869094503636,0.103,0.05000377017970342,M1L-SubthalL_NDI_pre,M1L-SubthalL_NDI_post,0.25963933368533026,0.02759437558606515,0.2596539354029701,0.02701312922308985,0.9438496363636364,1.0,1.0
T-test,-25.26230477223775,117,two-sided,0.0,[-0.03 -0.02],1.5090763007091417,5.378e+45,1.0,M1L-SubthalL_ODI_pre,M1L-SubthalL_ODI_post,0.15903894354106182,0.01579386845435274,0.18298535768531146,0.01580788427515796,0.0,0.0,0.0
T-test,-4.1157673283105956,117,two-sided,7.2e-05,[-0. -0.],0.029540784740688986,234.597,0.06168298866682651,M1L-ThalfusL_NDI_pre,M1L-ThalfusL_NDI_post,0.2371932262888932,0.02915072502795909,0.23804312350176293,0.028136562120159792,9.51864406779661e-05,0.005616,0.00144
T-test,-28.915805034331182,117,two-sided,0.0,[-0.03 -0.03],1.6486072615992293,3.86e+51,1.0,M1L-ThalfusL_ODI_pre,M1L-ThalfusL_ODI_post,0.21127418993996822,0.0200569370751495,0.24219312321786302,0.017182143680668418,0.0,0.0,0.0
T-test,-1.3832282303914296,117,two-sided,0.169229,[-0.  0.],0.0081209343700032,0.258,0.0508773787109141,M1R-Brainstem_NDI_pre,M1R-Brainstem_NDI_post,0.2773293109542943,0.024596063348683847,0.27752832047581877,0.024205741885295545,0.18856945714285714,1.0,1.0
T-test,-46.19125760591132,117,two-sided,0.0,[-0.06 -0.05],3.8795637351708225,1.634e+73,1.0,M1R-Brainstem_ODI_pre,M1R-Brainstem_ODI_post,0.16920166275193113,0.01455230591428182,0.22485395373933492,0.014010707248574268,0.0,0.0,0.0
T-test,-3.4006676437622256,117,two-sided,0.00092,[-0. -0.],0.01683318982373139,22.457,0.053776281884070194,M1R-CaudR_NDI_pre,M1R-CaudR_NDI_post,0.1798839659948705,0.03192996482677434,0.18041884628272728,0.031348180277293886,0.001139047619047619,0.07176,0.014908999999999999
T-test,-18.69173990863925,117,two-sided,0.0,[-0.03 -0.03],0.9738948067899025,4.11e+33,1.0,M1R-CaudR_ODI_pre,M1R-CaudR_ODI_post,0.19949229270548374,0.02996451098677034,0.22987135252062812,0.03211990997395377,0.0,0.0,0.0
T-test,-4.898093721984112,117,two-sided,3e-06,[-0. -0.],0.013452852842113481,4445.123,0.05240993834408579,M1R-LentiR_NDI_pre,M1R-LentiR_NDI_post,0.20620824088792644,0.029849263240757016,0.20660862879767417,0.02942104032203481,4.588235294117647e-06,0.000234,8.400000000000001e-05
T-test,-32.97876918200079,117,two-sided,0.0,[-0.03 -0.03],1.6202985045437235,3.012e+57,1.0,M1R-LentiR_ODI_pre,M1R-LentiR_ODI_post,0.21540478035213165,0.020397354768517964,0.24616208610595822,0.017277461038804887,0.0,0.0,0.0
T-test,-3.9479262412323877,117,two-sided,0.000135,[-0. -0.],0.01981326391053112,131.093,0.055236223181701544,M1R-ParacentralR_NDI_pre,M1R-ParacentralR_NDI_post,0.17848861395411775,0.03365188309981955,0.17914721617596194,0.03253737792952402,0.00017549999999999998,0.01053,0.002565
T-test,2.5913940889077844,117,two-sided,0.010776,[0.   0.01],0.1481651790070955,2.486,0.3582344073200865,M1R-ParacentralR_ODI_pre,M1R-ParacentralR_ODI_post,0.27525511501812305,0.049093143609981904,0.268774539325752,0.037196954111552445,0.012545194029850748,0.840528,0.129312
T-test,-4.490723694717075,117,two-sided,1.7e-05,[-0. -0.],0.013291005043001835,918.272,0.05235221892018349,M1R-SubthalR_NDI_pre,M1R-SubthalR_NDI_post,0.2568753942515008,0.0287341574549696,0.25725644916958407,0.028361413021059115,2.4109090909090906e-05,0.001326,0.000425
T-test,-62.04114755384109,117,two-sided,0.0,[-0.07 -0.07],4.128487374778297,3.018e+87,1.0,M1R-SubthalR_ODI_pre,M1R-SubthalR_ODI_post,0.15569775292294497,0.015845585838283573,0.22453892519638458,0.017328997412729346,0.0,0.0,0.0
T-test,-4.412783952499194,117,two-sided,2.3e-05,[-0. -0.],0.019918850732264088,686.586,0.055292355020970595,M1R-ThalfusR_NDI_pre,M1R-ThalfusR_NDI_post,0.2336605036759841,0.030022985978622938,0.23425434905074102,0.029346436907109454,3.147368421052632e-05,0.001794,0.000506
T-test,-6.309026384249038,117,two-sided,0.0,[-0.01 -0.01],0.37790386019972405,1.985e+06,0.9826225687435785,M1R-ThalfusR_ODI_pre,M1R-ThalfusR_ODI_post,0.2078828941822104,0.02137359573346839,0.21556944638785902,0.01906792722457974,0.0,0.0,0.0
T-test,5.653336835862682,117,two-sided,0.0,[0. 0.],0.047650246598757405,1.042e+05,0.08069920708278427,ParacentralL-Brainstem_NDI_pre,ParacentralL-Brainstem_NDI_post,0.2695202831297612,0.023491399039315606,0.26841047766292414,0.022888190631857482,0.0,0.0,0.0
T-test,-61.05495042209209,117,two-sided,0.0,[-0.07 -0.06],4.260887661255044,4.976e+86,1.0,ParacentralL-Brainstem_ODI_pre,ParacentralL-Brainstem_ODI_post,0.16484134343421283,0.014645683181362236,0.23013200245455975,0.015847032025968648,0.0,0.0,0.0
T-test,-6.983490811889304,117,two-sided,0.0,[-0. -0.],0.03331829185082571,4.848e+07,0.06488823580259659,ParacentralL-CaudL_NDI_pre,ParacentralL-CaudL_NDI_post,0.18111377460789554,0.03265006114184385,0.18219272825320346,0.031836229925881,0.0,0.0,0.0
T-test,-28.633687508930223,117,two-sided,0.0,[-0.06 -0.05],2.1289461599674784,1.427e+51,1.0,ParacentralL-CaudL_ODI_pre,ParacentralL-CaudL_ODI_post,0.21722888080645342,0.027275767758650222,0.2701428887125237,0.021933078008642026,0.0,0.0,0.0
T-test,-4.487110413535287,117,two-sided,1.7e-05,[-0. -0.],0.022596709717759417,905.904,0.056817062602836525,ParacentralL-LentiL_NDI_pre,ParacentralL-LentiL_NDI_post,0.21183515723931262,0.02954822869781986,0.21249544225049358,0.028637293789407974,2.4109090909090906e-05,0.001326,0.000425
T-test,-51.68041671480072,117,two-sided,0.0,[-0.07 -0.06],3.2436657445247636,4.01e+78,1.0,ParacentralL-LentiL_ODI_pre,ParacentralL-LentiL_ODI_post,0.19916719471769181,0.018985949136902863,0.2620915811449943,0.019642047226484157,0.0,0.0,0.0
T-test,-0.10206416343776355,117,two-sided,0.91888,[-0.  0.],0.0005359638318967154,0.103,0.05000381957598515,ParacentralL-ParacentralR_NDI_pre,ParacentralL-ParacentralR_NDI_post,0.18850979623758796,0.02687684937060877,0.1885241179449636,0.02633628344540647,0.943061052631579,1.0,1.0
T-test,-1.3608480966279068,117,two-sided,0.176177,[-0.01  0.  ],0.04784427924972481,0.251,0.08095351729604683,ParacentralL-ParacentralR_ODI_pre,ParacentralL-ParacentralR_ODI_post,0.33149044209744816,0.06068504012329578,0.3340622459939112,0.045246641325973204,0.1935465633802817,1.0,1.0
T-test,-1.7804840423756048,117,two-sided,0.077592,[-0.  0.],0.010941001694883074,0.471,0.05159322700577258,ParacentralL-SubthalL_NDI_pre,ParacentralL-SubthalL_NDI_post,0.25326757232967956,0.028167128095779627,0.25357212823157443,0.02726146989533864,0.0877126956521739,1.0,0.7759199999999999
T-test,-53.78515362562776,117,two-sided,0.0,[-0.07 -0.07],3.6890024882073678,3.406e+80,1.0,ParacentralL-SubthalL_ODI_pre,ParacentralL-SubthalL_ODI_post,0.16333386967794222,0.016848361896682113,0.2313434195588162,0.01975161445693343,0.0,0.0,0.0
T-test,-4.564938955676524,117,two-sided,1.2e-05,[-0. -0.],0.030730398117473027,1215.266,0.06264969020942268,ParacentralL-ThalfusL_NDI_pre,ParacentralL-ThalfusL_NDI_post,0.2260339122097981,0.028916308432994097,0.2269085393956122,0.027752641396547265,1.7660377358490566e-05,0.000936,0.000312
T-test,-62.28833246678823,117,two-sided,0.0,[-0.08 -0.07],3.49946300715704,4.722e+87,1.0,ParacentralL-ThalfusL_ODI_pre,ParacentralL-ThalfusL_ODI_post,0.20953742610372897,0.02036275828122961,0.2845061897522852,0.022259010851936836,0.0,0.0,0.0
T-test,-3.4149838610901537,117,two-sided,0.000877,[-0. -0.],0.031196832520308825,23.454,0.06303941794671748,ParacentralR-Brainstem_NDI_pre,ParacentralR-Brainstem_NDI_post,0.2696112055095383,0.023962311276431114,0.27034692743174976,0.02299387007689858,0.0011033225806451614,0.068406,0.014908999999999999
T-test,-22.360347723060844,117,two-sided,0.0,[-0.03 -0.03],2.1345105277945806,4.444e+40,1.0,ParacentralR-Brainstem_ODI_pre,ParacentralR-Brainstem_ODI_post,0.17363097935778998,0.014581028218344692,0.2034180298866328,0.013174817488279946,0.0,0.0,0.0
T-test,-5.469080543887787,117,two-sided,0.0,[-0. -0.],0.03877814761101085,4.706e+04,0.07022500412757839,ParacentralR-CaudR_NDI_pre,ParacentralR-CaudR_NDI_post,0.1820717073124198,0.029999961142809294,0.1832138981786898,0.028643196193735756,0.0,0.0,0.0
T-test,11.09142484512298,117,two-sided,0.0,[0.02 0.02],0.7866580411016826,8.785e+16,1.0,ParacentralR-CaudR_ODI_pre,ParacentralR-CaudR_ODI_post,0.21497177018682012,0.026787527334282843,0.19450001086777652,0.025008331108240658,0.0,0.0,0.0
T-test,-6.157399484897051,117,two-sided,0.0,[-0. -0.],0.0382934748405482,9.892e+05,0.06971735322409262,ParacentralR-LentiR_NDI_pre,ParacentralR-LentiR_NDI_post,0.2085444032160418,0.029256968201614376,0.20964584668180006,0.028011649668919697,0.0,0.0,0.0
T-test,-12.81686022520835,117,two-sided,0.0,[-0.02 -0.01],0.9105325831044532,8.299e+20,1.0,ParacentralR-LentiR_ODI_pre,ParacentralR-LentiR_ODI_post,0.19505645230718816,0.01761736902820378,0.21096232995966385,0.017168910485514173,0.0,0.0,0.0
T-test,-4.417564155986927,117,two-sided,2.2e-05,[-0. -0.],0.030902292568410736,698.866,0.06279261432320299,ParacentralR-SubthalR_NDI_pre,ParacentralR-SubthalR_NDI_post,0.25065879787908446,0.028650700796137664,0.25153104782291674,0.02755094606864062,3.064285714285714e-05,0.0017159999999999999,0.0005059999999999999
T-test,-24.115983433489042,117,two-sided,0.0,[-0.04 -0.03],2.0656689248883344,5.904e+43,1.0,ParacentralR-SubthalR_ODI_pre,ParacentralR-SubthalR_ODI_post,0.15910819166133722,0.016198642036292978,0.19522451910153718,0.018542089686096712,0.0,0.0,0.0
T-test,-5.599015009049109,117,two-sided,0.0,[-0. -0.],0.061066533029014616,8.232e+04,0.10087475588287803,ParacentralR-ThalfusR_NDI_pre,ParacentralR-ThalfusR_NDI_post,0.21963538311108943,0.030074422959559793,0.22141237626989985,0.027833706084424325,0.0,0.0,0.0
T-test,15.124922588114657,117,two-sided,0.0,[0.02 0.03],1.1630845831947216,1.254e+26,1.0,ParacentralR-ThalfusR_ODI_pre,ParacentralR-ThalfusR_ODI_post,0.20567584991758953,0.02103463717725874,0.18287962222609788,0.017870015974933914,0.0,0.0,0.0
T-test,8.599923397447128,117,two-sided,0.0,[0. 0.],0.08731494917805034,1.66e+11,0.15590371857807253,S1L-Brainstem_NDI_pre,S1L-Brainstem_NDI_post,0.27393986678619797,0.02263044200112471,0.2719806444557456,0.02205239100838033,0.0,0.0,0.0
T-test,-45.67444846664946,117,two-sided,0.0,[-0.04 -0.04],2.321642501595932,4.749e+72,1.0,S1L-Brainstem_ODI_pre,S1L-Brainstem_ODI_post,0.1592343806778153,0.018658005691215337,0.2015235797456438,0.017602350484398944,0.0,0.0,0.0
T-test,-6.344555355150238,117,two-sided,0.0,[-0. -0.],0.06316514534547224,2.34e+06,0.10451162446054567,S1L-CaudL_NDI_pre,S1L-CaudL_NDI_post,0.1854589753431693,0.031538018956829214,0.18740297733000963,0.02972683865686379,0.0,0.0,0.0
T-test,-21.179087061424962,117,two-sided,0.0,[-0.04 -0.04],1.577472230918637,2.881e+38,1.0,S1L-CaudL_ODI_pre,S1L-CaudL_ODI_post,0.19409030099501398,0.02817524164962122,0.2336260916907736,0.02125540110388466,0.0,0.0,0.0
T-test,-5.883164283384631,117,two-sided,0.0,[-0. -0.],0.026594859630377037,2.87e+05,0.05945715833549388,S1L-LentiL_NDI_pre,S1L-LentiL_NDI_post,0.20035144277276654,0.026626560124199297,0.20105389212054875,0.025970988405642634,0.0,0.0,0.0
T-test,-32.27295236512645,117,two-sided,0.0,[-0.03 -0.03],1.7491069028427257,3.146e+56,1.0,S1L-LentiL_ODI_pre,S1L-LentiL_ODI_post,0.2050221857183871,0.017301568204424012,0.2342329745527056,0.015929075008014427,0.0,0.0,0.0
T-test,-6.52182520428876,117,two-sided,0.0,[-0. -0.],0.01759761655940198,5.353e+06,0.054127906595528213,S1L-M1L_NDI_pre,S1L-M1L_NDI_post,0.17698747131715267,0.027585163171151974,0.17747090031481377,0.02712212840782072,0.0,0.0,0.0
T-test,-7.741850537625964,117,two-sided,0.0,[-0.01 -0.01],0.42790398441245625,2.06e+09,0.995973001617266,S1L-M1L_ODI_pre,S1L-M1L_ODI_post,0.3040028542124287,0.02228994305220382,0.3131748896673797,0.020353679489668625,0.0,0.0,0.0
T-test,-0.556224370747334,117,two-sided,0.57912,[-0.  0.],0.0032414402486671537,0.119,0.05013971913750501,S1L-ParacentralL_NDI_pre,S1L-ParacentralL_NDI_post,0.18543770763229922,0.02803106304368745,0.18552817248542905,0.027547504330379925,0.6104237837837838,1.0,1.0
T-test,-25.757996510920645,117,two-sided,0.0,[-0.06 -0.05],1.1579490454741843,3.624e+46,1.0,S1L-ParacentralL_ODI_pre,S1L-ParacentralL_ODI_post,0.3409879683394813,0.053501492895261814,0.397588511148237,0.04330822239215707,0.0,0.0,0.0
T-test,0.46534977616744044,117,two-sided,0.642546,[-0.  0.],0.00803456100546604,0.114,0.05085880486074376,S1L-S1R_NDI_pre,S1L-S1R_NDI_post,0.17540008965354528,0.02904112916959273,0.1751755273579281,0.02656550887750844,0.6682478399999999,1.0,1.0
T-test,-37.40835601370605,117,two-sided,0.0,[-0.07 -0.06],1.8826737468383408,1.872e+63,1.0,S1L-S1R_ODI_pre,S1L-S1R_ODI_post,0.16415015690227341,0.03773719634377779,0.2269394395820517,0.02795793720539664,0.0,0.0,0.0
T-test,-0.7124368744089838,117,two-sided,0.477613,[-0.  0.],0.004316458526395282,0.131,0.05024777852702589,S1L-SubthalL_NDI_pre,S1L-SubthalL_NDI_post,0.2530596380660931,0.02588900864459606,0.2531706800504364,0.025340080510801267,0.5103262191780822,1.0,1.0
T-test,-32.07154140825837,117,two-sided,0.0,[-0.04 -0.03],2.0402541313495126,1.64e+56,1.0,S1L-SubthalL_ODI_pre,S1L-SubthalL_ODI_post,0.15673371844958303,0.01728961706288255,0.1935790372345964,0.018649651158197514,0.0,0.0,0.0
T-test,-5.230970199728886,117,two-sided,1e-06,[-0. -0.],0.0720703504453067,1.725e+04,0.1214128017351638,S1L-ThalfusL_NDI_pre,S1L-ThalfusL_NDI_post,0.2248592118879505,0.02840965513542501,0.22683862408518876,0.026244214380948306,1.5918367346938775e-06,7.8e-05,2.9999999999999997e-05
T-test,-42.04701399934922,117,two-sided,0.0,[-0.05 -0.05],2.3650132532594474,5.615e+68,1.0,S1L-ThalfusL_ODI_pre,S1L-ThalfusL_ODI_post,0.19600641505534036,0.021644631983120267,0.24754529113269633,0.021754584983576453,0.0,0.0,0.0
T-test,-0.054735895045943214,117,two-sided,0.956442,[-0.  0.],0.0004798748762460039,0.102,0.050003061964282135,S1R-Brainstem_NDI_pre,S1R-Brainstem_NDI_post,0.271116647134812,0.02229729147125376,0.2711272860334644,0.02185248829902756,0.956442,1.0,1.0
T-test,-41.27253391832843,117,two-sided,0.0,[-0.05 -0.05],3.5216615137729366,7.455e+67,1.0,S1R-Brainstem_ODI_pre,S1R-Brainstem_ODI_post,0.1679923111336948,0.01599022826834185,0.22026009120735562,0.013458708994065675,0.0,0.0,0.0
T-test,-6.129580730729971,117,two-sided,0.0,[-0. -0.],0.041170532308323404,8.714e+05,0.0728282327220359,S1R-CaudR_NDI_pre,S1R-CaudR_NDI_post,0.18524596899249535,0.029428245213578817,0.1864393247627578,0.028285636250007636,0.0,0.0,0.0
T-test,-16.93178460555666,117,two-sided,0.0,[-0.03 -0.02],0.9808700303295368,9.709e+29,1.0,S1R-CaudR_ODI_pre,S1R-CaudR_ODI_post,0.20446199552843114,0.028371364886133604,0.23112744732331264,0.025702981024836674,0.0,0.0,0.0
T-test,-4.379358042792292,117,two-sided,2.6e-05,[-0. -0.],0.017036739598333166,606.772,0.053868372485994465,S1R-LentiR_NDI_pre,S1R-LentiR_NDI_post,0.20044572657302936,0.027216693966993902,0.20090677019914074,0.026674208574829578,3.496551724137931e-05,0.002028,0.0005459999999999999
T-test,-44.17197677365147,117,two-sided,0.0,[-0.04 -0.04],2.4077216341384005,1.215e+71,1.0,S1R-LentiR_ODI_pre,S1R-LentiR_ODI_post,0.20686972686228897,0.019074596766944715,0.24973064494308897,0.016265651667307004,0.0,0.0,0.0
T-test,1.9967557485293583,117,two-sided,0.048173,[0. 0.],0.007660598206281355,0.694,0.050780683374237856,S1R-M1R_NDI_pre,S1R-M1R_NDI_post,0.17759958887691465,0.026652018001406718,0.17739568733563474,0.026354945531243863,0.05525726470588235,1.0,0.529903
T-test,-34.51915940128667,117,two-sided,0.0,[-0.04 -0.03],1.675049213277755,3.652e+59,1.0,S1R-M1R_ODI_pre,S1R-M1R_ODI_post,0.3067907886247944,0.023868147931261012,0.3437787469009579,0.019931163800968123,0.0,0.0,0.0
T-test,-3.1656377378180878,117,two-sided,0.001973,[-0. -0.],0.01467586915136695,11.248,0.05286882636383773,S1R-ParacentralR_NDI_pre,S1R-ParacentralR_NDI_post,0.1843304805631349,0.028135928884628812,0.18473991518369692,0.027419505326625588,0.0023675999999999997,0.153894,0.027622
T-test,3.273360616449373,117,two-sided,0.001398,[0.   0.01],0.21551417454433103,15.363,0.6412844091621647,S1R-ParacentralR_ODI_pre,S1R-ParacentralR_ODI_post,0.34246679271302083,0.04590430878293034,0.333615268999126,0.035184724522020316,0.0017038125,0.109044,0.02097
T-test,-1.3009919234156806,117,two-sided,0.195818,[-0.  0.],0.004798889994636489,0.232,0.05030627081904457,S1R-SubthalR_NDI_pre,S1R-SubthalR_NDI_post,0.2512376118238549,0.02705456721174127,0.2513673413321212,0.026781622972128036,0.21213616666666665,1.0,1.0
T-test,-58.74532400963638,117,two-sided,0.0,[-0.07 -0.07],3.7144730481483332,6.548e+84,1.0,S1R-SubthalR_ODI_pre,S1R-SubthalR_ODI_post,0.15563921115399562,0.01924790662285593,0.22574011209086853,0.01832522563855437,0.0,0.0,0.0
T-test,-5.013280410048506,117,two-sided,2e-06,[-0. -0.],0.049306018910940747,7059.717,0.08290438868014934,S1R-ThalfusR_NDI_pre,S1R-ThalfusR_NDI_post,0.22053121838096773,0.02810704715310806,0.22188055293243383,0.02636577220565594,3.1199999999999998e-06,0.000156,5.8e-05
T-test,-12.122419873253914,117,two-sided,0.0,[-0.02 -0.01],0.8333262200390941,2.117e+19,1.0,S1R-ThalfusR_ODI_pre,S1R-ThalfusR_ODI_post,0.19633132295063527,0.02250696458965404,0.21292629001565708,0.016729021486174323,0.0,0.0,0.0
